Document Name,Link,Current Status,ID #,Version,Facility/Project Name,County,Document Date,Document Types,Page count,Linked
GW1-2022-08520_Well Construction - GW1_20220513,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2492388&dbid=0&repo=WaterResources,,GW1-2022-08520,,,Mecklenburg,5/13/2022,Well Construction - GW1,1,
GW1-2022-10240_Well Construction - GW1_20221111,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2583341&dbid=0&repo=WaterResources,,GW1-2022-10240,,,Jackson,11/11/2022,Well Construction - GW1,1,
GW1-2022-10092_Well Construction - GW1_20221104,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2571266&dbid=0&repo=WaterResources,,GW1-2022-10092,,,Alamance,11/4/2022,Well Construction - GW1,1,
GW1-2022-09583_Well Construction - GW1_20221025,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2542156&dbid=0&repo=WaterResources,,GW1-2022-09583,,,Rowan,10/25/2022,Well Construction - GW1,4,
GW1-2022-07425_Well Construction - GW1_20220816,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2455043&dbid=0&repo=WaterResources,,GW1-2022-07425,,,Gaston,8/16/2022,Well Construction - GW1,4,
GW1-2022-07827_Well Construction - GW1_20220822,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2473187&dbid=0&repo=WaterResources,,GW1-2022-07827,,,Macon,8/22/2022,Well Construction - GW1,2,
GW1-2022-06361_Well Construction - GW1_20220705,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2409737&dbid=0&repo=WaterResources,,GW1-2022-06361,,,Rutherford,7/5/2022,Well Construction - GW1,1,
GW1-2022-08215_Well Construction - GW1_20220505,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2492053&dbid=0&repo=WaterResources,,GW1-2022-08215,,,Swain,5/5/2022,Well Construction - GW1,1,
GW1-2022-04056_Well Construction - GW1_20220422,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2307938&dbid=0&repo=WaterResources,,GW1-2022-04056,,,Franklin,4/22/2022,Well Construction - GW1,1,
GW1-2022-05828_Well Construction - GW1_20220609,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2380957&dbid=0&repo=WaterResources,,GW1-2022-05828,,,Gaston,6/9/2022,Well Construction - GW1,1,
GW1-2022-06764_Well Construction - GW1_20220713,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2429043&dbid=0&repo=WaterResources,,GW1-2022-06764,,,Pitt,7/13/2022,Well Construction - GW1,1,
GW1-2022-00135_Well Construction - GW1_20221219,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2639108&dbid=0&repo=WaterResources,,GW1-2022-00135,,,Rowan,12/19/2022,Well Construction - GW1,1,
GW1-2022-06388_Well Construction - GW1_20220603,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2411203&dbid=0&repo=WaterResources,,GW1-2022-06388,,,Watauga,6/3/2022,Well Construction - GW1,2,
GW1-2022-07492_Well Construction - GW1_20220823,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2462644&dbid=0&repo=WaterResources,,GW1-2022-07492,,,Pamlico,8/23/2022,Well Construction - GW1,4,
GW1-2022-09223_Well Construction - GW1_20221009,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2524430&dbid=0&repo=WaterResources,,GW1-2022-09223,,,Robeson,10/9/2022,Well Construction - GW1,4,
GW1-2022-07651_Well Construction - GW1_20220818,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2469391&dbid=0&repo=WaterResources,,GW1-2022-07651,,,Cherokee,8/18/2022,Well Construction - GW1,1,
GW1-2022-08879_Well Construction - GW1_20220722,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2499379&dbid=0&repo=WaterResources,,GW1-2022-08879,,,Orange,7/22/2022,Well Construction - GW1,2,
GW1-2022-03411_Well Construction - GW1_20220315,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2251423&dbid=0&repo=WaterResources,,GW1-2022-03411,,,Ashe,3/15/2022,Well Construction - GW1,1,
GW1-2022-09331_Well Construction - GW1_20221007,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2529784&dbid=0&repo=WaterResources,,GW1-2022-09331,,,Stokes,10/7/2022,Well Construction - GW1,1,
GW1-2022-03421_Well Construction - GW1_20220318,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2251543&dbid=0&repo=WaterResources,,GW1-2022-03421,,,Cleveland,3/18/2022,Well Construction - GW1,1,
GW1-2022-09500_Well Construction - GW1_20221014,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2536879&dbid=0&repo=WaterResources,,GW1-2022-09500,,,Macon,10/14/2022,Well Construction - GW1,1,
GW1-2022-09422_Well Construction - GW1_20220923,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2532898&dbid=0&repo=WaterResources,,GW1-2022-09422,,,Wilson,9/23/2022,Well Construction - GW1,2,
GW1-2022-05871_Well Construction - GW1_20220617,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2390129&dbid=0&repo=WaterResources,,GW1-2022-05871,,,New Hanover,6/17/2022,Well Construction - GW1,1,
GW1-2022-10748_Well Construction - GW1_20221208,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2614020&dbid=0&repo=WaterResources,,GW1-2022-10748,,,Macon,12/8/2022,Well Construction - GW1,1,
GW1-2022-05928_Well Construction - GW1_20220627,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2392135&dbid=0&repo=WaterResources,,GW1-2022-05928,,,Buncombe,6/27/2022,Well Construction - GW1,1,
GW1-2022-10702_Well Construction - GW1_20221205,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2613738&dbid=0&repo=WaterResources,,GW1-2022-10702,,,Caldwell,12/5/2022,Well Construction - GW1,2,
GW1-2022-02990_Well Construction - GW1_20220302,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2230213&dbid=0&repo=WaterResources,,GW1-2022-02990,,,Person,3/2/2022,Well Construction - GW1,1,
GW1-2022-05248_Well Construction - GW1_20220531,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2358718&dbid=0&repo=WaterResources,,GW1-2022-05248,,,Cumberland,5/31/2022,Well Construction - GW1,1,
GW1-2022-04265_Well Construction - GW1_20220408,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2317400&dbid=0&repo=WaterResources,,GW1-2022-04265,,,Stanly,4/8/2022,Well Construction - GW1,1,
GW1-2022-06913_Well Construction - GW1_20220718,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2436787&dbid=0&repo=WaterResources,,GW1-2022-06913,,,Cabarrus,7/18/2022,Well Construction - GW1,1,
GW1-2022-08365_Well Construction - GW1_20220418,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2492222&dbid=0&repo=WaterResources,,GW1-2022-08365,,,Person,4/18/2022,Well Construction - GW1,1,
GW1-2022-08792_Well Construction - GW1_20220909,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2499153&dbid=0&repo=WaterResources,,GW1-2022-08792,,,Lincoln,9/9/2022,Well Construction - GW1,2,
GW1-2022-03155_Well Construction - GW1_20220222,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2235072&dbid=0&repo=WaterResources,,GW1-2022-03155,,,Surry,2/22/2022,Well Construction - GW1,1,
GW1-2022-09652_Well Construction - GW1_20221026,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2544076&dbid=0&repo=WaterResources,,GW1-2022-09652,,,Surry,10/26/2022,Well Construction - GW1,4,
GW1-2022-07296_Well Construction - GW1_20220805,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2452430&dbid=0&repo=WaterResources,,GW1-2022-07296,,,Wake,8/5/2022,Well Construction - GW1,1,
GW1-2022-10856_Well Construction - GW1_20221231,https://edocs.deq.nc.gov/WaterResources/DocView.aspx?id=2625255&dbid=0&repo=WaterResources,,GW1-2022-10856,,,Graham,12/31/2022,Well Construction - GW1,4,
